method,num_steps,num_threads,result,runtime
atomic,10000,4,3.14159,0.000843
atomic,100000,4,3.14159,0.005396
atomic,100000,4,3.14159,0.005382
atomic,100000,4,3.14159,0.005843
atomic,100000,4,3.14159,0.005428
atomic,100000,4,3.14159,0.005953
atomic,100000,4,3.14159,0.005748
atomic,100000,4,3.14159,0.005099
atomic,100000,4,3.14159,0.005367
atomic,100000,4,3.14159,0.006347
atomic,100000,4,3.14159,0.005168
atomic,1000000,4,3.14159,0.058313
atomic,1000000,4,3.14159,0.063892
atomic,1000000,4,3.14159,0.053383
atomic,1000000,4,3.14159,0.055927
atomic,1000000,4,3.14159,0.054216
atomic,1000000,4,3.14159,0.057195
atomic,1000000,4,3.14159,0.060346
atomic,1000000,4,3.14159,0.050721
atomic,1000000,4,3.14159,0.062697
atomic,1000000,4,3.14159,0.061901
atomic,10000000,4,3.14159,0.636394
atomic,10000000,4,3.14159,0.608724
atomic,10000000,4,3.14159,0.551786
atomic,10000000,4,3.14159,0.616122
atomic,10000000,4,3.14159,0.639503
atomic,10000000,4,3.14159,0.633372
atomic,10000000,4,3.14159,0.626525
atomic,10000000,4,3.14159,0.647134
atomic,10000000,4,3.14159,0.612968
atomic,10000000,4,3.14159,0.619471
atomic,10000,8,3.14159,0.001084
atomic,10000,8,3.14159,0.001442
atomic,10000,8,3.14159,0.000996
atomic,10000,8,3.14159,0.001275
atomic,10000,8,3.14159,0.001201
atomic,10000,8,3.14159,0.001795
atomic,10000,8,3.14159,0.001324
atomic,10000,8,3.14159,0.00143
atomic,10000,8,3.14159,0.001321
atomic,10000,8,3.14159,0.001209
atomic,100000,8,3.14159,0.014831
atomic,100000,8,3.14159,0.01211
atomic,100000,8,3.14159,0.01551
atomic,100000,8,3.14159,0.013328
atomic,100000,8,3.14159,0.013594
atomic,100000,8,3.14159,0.012755
atomic,100000,8,3.14159,0.013948
atomic,100000,8,3.14159,0.014098
atomic,100000,8,3.14159,0.015726
atomic,100000,8,3.14159,0.015706
atomic,1000000,8,3.14159,0.134101
atomic,1000000,8,3.14159,0.107538
atomic,1000000,8,3.14159,0.091629
atomic,1000000,8,3.14159,0.146728
atomic,1000000,8,3.14159,0.162394
atomic,1000000,8,3.14159,0.14646
atomic,1000000,8,3.14159,0.173974
atomic,1000000,8,3.14159,0.163281
atomic,1000000,8,3.14159,0.141391
atomic,1000000,8,3.14159,0.175606
atomic,10000000,8,3.14159,1.63102
atomic,10000000,8,3.14159,1.64544
atomic,10000000,8,3.14159,1.52457
atomic,10000000,8,3.14159,1.8667
atomic,10000000,8,3.14159,1.91483
atomic,10000000,8,3.14159,1.74181
atomic,10000000,8,3.14159,1.77621
atomic,10000000,8,3.14159,1.7894
atomic,10000000,8,3.14159,1.98579
atomic,10000000,8,3.14159,1.83968
reduction,10000,1,3.14159,0.000207
reduction,10000,1,3.14159,0.000197
reduction,10000,1,3.14159,0.000201
reduction,10000,1,3.14159,0.000179
reduction,10000,1,3.14159,0.000207
reduction,10000,1,3.14159,0.00021
reduction,10000,1,3.14159,0.000195
reduction,10000,1,3.14159,0.000188
reduction,10000,1,3.14159,0.00023
reduction,10000,1,3.14159,0.000202
reduction,100000,1,3.14159,0.000512
reduction,100000,1,3.14159,0.000542
reduction,100000,1,3.14159,0.000517
reduction,100000,1,3.14159,0.000519
reduction,100000,1,3.14159,0.000553
reduction,100000,1,3.14159,0.000527
reduction,100000,1,3.14159,0.000513
reduction,100000,1,3.14159,0.000595
reduction,100000,1,3.14159,0.000599
reduction,100000,1,3.14159,0.000524
reduction,1000000,1,3.14159,0.003824
reduction,1000000,1,3.14159,0.003784
